"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"206015_s_at","206015_s_at","FOXJ3",0.271845413585893,7.55980361624352,2.02908039586081,0.0513353198773903,0.330131293745422,-4.09901577797728
"221961_at","221961_at","CLCN7",-0.157982101857696,6.4676566088858,-2.02866313974473,0.0513803002078602,0.330325224908179,-4.09972815257633
"210795_s_at","210795_s_at",NA,-0.197804522936027,8.21051744759968,-2.0282550878118,0.051424321821353,0.330370174041452,-4.10042470781237
"200061_s_at","200061_s_at","RPS24",-0.120981693544671,13.3310479940647,-2.02822944885141,0.0514270889198568,0.330370174041452,-4.10046847070867
"208612_at","208612_at","PDIA3",0.358515772205719,10.380367624308,2.02806534535372,0.0514448029768371,0.330370174041452,-4.10074856766992
"206222_at","206222_at","TNFRSF10C",-0.134567788218303,6.32481818425943,-2.0280487353222,0.0514465962358677,0.330370174041452,-4.1007769172511
"203201_at","203201_at","PMM2",0.207767776889158,7.68413297772051,2.02773005811588,0.0514810120339084,0.330442083792318,-4.10132079404594
"222085_at","222085_at",NA,0.117897906101828,5.81369564948066,2.02767043812994,0.0514874529877902,0.330442083792318,-4.10142253863245
"206927_s_at","206927_s_at","GUCY1A2",-0.128021451553319,6.22038435591375,-2.02742293029227,0.0515141996907555,0.330478305619981,-4.10184489978668
"206643_at","206643_at","HAL",-0.32260481253389,5.70138023349001,-2.02734375037022,0.0515227587723293,0.330478305619981,-4.10198000872869
"216451_at","216451_at","STK38",-0.16202241302221,7.39416170653193,-2.02703971793716,0.0515556352616535,0.330528818652766,-4.10249875913311
"222169_x_at","222169_x_at","SH2D3A",-0.159238212003359,7.5600523296729,-2.02689195350967,0.0515716203955177,0.330528818652766,-4.10275085891869
"209785_s_at","209785_s_at","PLA2G4C",-0.154330124937075,6.63736066716683,-2.02673984970106,0.0515880795115394,0.330528818652766,-4.10301034782965
"212167_s_at","212167_s_at","SMARCB1",0.141509760644871,8.17866540775197,2.02670740713846,0.0515915907104878,0.330528818652766,-4.10306569292968
"207572_at","207572_at","EFCAB2",-0.124597177068648,5.38243595767091,-2.0265853734218,0.051604800075976,0.330528818652766,-4.10327386936472
"222301_at","222301_at","MIR9-1HG",-0.243078251459238,7.55537524838322,-2.0264426092962,0.0516202571466751,0.330532813218207,-4.10351739783362
"216500_at","216500_at",NA,-0.232566833236865,8.41761295821497,-2.02625714625141,0.0516403433037606,0.330566437758603,-4.10383374350852
"215473_at","215473_at",NA,-0.107339130876873,5.51785913452573,-2.02589783304126,0.0516792774516478,0.33065626346757,-4.10444656546671
"212000_at","212000_at","SUGP2",-0.122475041494114,5.72494713209337,-2.02545325112335,0.051727486766674,0.33065626346757,-4.10520470456754
"218582_at","218582_at","MARCHF5",0.128417823389654,8.25477629150358,2.02528436546001,0.0517458106443315,0.33065626346757,-4.10549267043024
"204631_at","204631_at","MYH2",-0.136783182192006,5.62502500256302,-2.0249540781133,0.0517816628791776,0.33065626346757,-4.10605578968567
"222068_s_at","222068_s_at","DNAAF1",-0.209232436235498,8.11525259307941,-2.02493027801664,0.0517842471894411,0.33065626346757,-4.10609636472409
"205404_at","205404_at","HSD11B1",-0.150699170500321,6.51198073765717,-2.02487951412058,0.0517897597161075,0.33065626346757,-4.10618290718114
"206427_s_at","206427_s_at","MLANA",-0.175296593248889,6.41858884756922,-2.02478253607104,0.0518002921392362,0.33065626346757,-4.10634823119566
"207996_s_at","207996_s_at","LDLRAD4",-0.0917708654244711,5.0727505491519,-2.02476949099919,0.0518017090592522,0.33065626346757,-4.10637046942485
"206403_at","206403_at","ZNF536",-0.164414058243135,6.37928140972142,-2.02476765732092,0.0518019082310988,0.33065626346757,-4.10637359532916
"213197_at","213197_at","ASTN1",-0.10118775922426,5.45358903014106,-2.02475976818604,0.0518027651467615,0.33065626346757,-4.10638704405518
"219159_s_at","219159_s_at","SLAMF7",-0.218526911613728,7.26012315877407,-2.02405706101117,0.0518791429764783,0.330908517102489,-4.10758480319025
"206515_at","206515_at","CYP4F3",-0.132719190813037,5.69830787759562,-2.0240166071654,0.051883542948368,0.330908517102489,-4.10765374705846
